doc_id,token_count,type_count,ttr,root_ttr,maas,hdd,mtld,mtld_ma_wrap,msttr_50,sent_count,sent_len_mean,sent_len_median,sent_len_std,sent_len_min,sent_len_max,laughter,filled_pause,thanks,question_marks
219,947,761,0.9007214907083548,2.9426182655537225,0.0,0.9218673170004343,28.36656402347509,0.0,0.04072727272727273,102,9.172510822510823,8.645454545454545,2.609280520461678,6.581818181818182,12.6,0,42,0,2
221,1247,905,0.866299950060002,3.8938012856669153,0.0,0.9007090141628401,35.96634489347934,0.0,0.20685185185185187,90,13.327777777777778,12.26388888888889,6.131557353630201,7.277777777777778,22.25,0,0,1,12
222,727,570,0.8579512380889966,3.2548518919927463,0.0,0.877141028357986,28.816072713960086,0.0,0.07555555555555554,54,15.592592592592593,15.0,3.2870466801190883,12.416666666666666,19.36111111111111,0,33,0,9
223,886,700,0.920294212731064,2.6227071864910507,0.0,0.9444283309354515,16.13580740289314,0.0,0.04029850746268657,132,6.688930348258706,6.276119402985074,2.1007848812814482,4.552238805970149,9.373134328358208,0,1,0,23
225,2261,1351,0.7499326410457394,6.103172665450679,0.0,0.8583109258982495,76.26302080978869,0.0,0.4777380952380952,75,34.813208616780045,31.5,15.74395507030307,17.0,58.42857142857143,0,2,1,18
227,1195,929,0.8516201749452338,2.687027001442216,0.0,0.8983033520249499,18.73917425440627,0.0,0.056973684210526315,138,9.704166666666666,9.68421052631579,2.7963345724505517,6.618421052631579,12.842105263157896,0,30,0,29
39,1966,1236,0.8184979832418204,4.142114830257108,0.0,0.8806464719124327,38.2295768984302,0.0,0.2305897435897436,92,21.69636752136752,19.76923076923077,8.931168466344493,13.282051282051283,34.02564102564103,1,0,0,22
40,637,519,0.8879642299456184,3.9276651883335454,0.0,0.9276659895672065,51.25991966474766,0.0,0.13478260869565217,39,16.02536231884058,15.652173913043478,5.4090719669262075,10.652173913043478,22.217391304347824,0,0,1,17
41,1511,944,0.7971277042176128,4.31787204745383,0.0,0.867230744330808,31.943280297449828,0.0,0.29858024691358026,47,36.425308641975306,34.68518518518518,12.521162845618827,24.444444444444443,51.18518518518518,0,22,0,9
43,1297,906,0.8437922666998751,4.2254001561903305,0.0,0.8875356357397348,38.91188554355986,0.0,0.21510416666666668,96,14.649925595238095,13.5625,5.347268920969166,9.125,22.75,0,2,2,26
44,970,804,0.8792091794239688,2.338759193935314,0.0,0.8932638733313671,19.286573170188912,0.0,0.017674418604651163,131,7.147286821705426,6.906976744186046,1.6345204748503361,5.488372093023256,9.255813953488373,0,77,0,14
45,1399,1094,0.8593263139686279,3.5411494793924874,0.0,0.8805704162987087,31.738052316041564,0.0,0.065,106,15.164942528735633,14.301724137931034,4.268296083872574,10.948275862068966,20.75862068965517,0,0,0,7
51,1200,820,0.8574063979611463,4.875186812162943,0.0,0.9193878492245474,45.1744682422383,0.0,0.28633333333333333,58,20.422272727272727,19.7,4.936908175895924,14.0,28.0,0,0,2,9
52,936,775,0.851328006841027,2.2331287981260775,0.0,0.8953724794927295,12.817802202246872,0.0,0.02170212765957447,105,9.27127659574468,9.27127659574468,0.8670212765957447,8.404255319148936,10.138297872340425,15,48,1,21
53,1248,879,0.8630204076430615,3.7614002155409603,0.0,0.9038377849484653,32.08531905127803,0.0,0.2795959595959596,97,11.830242905242905,10.93939393939394,4.86897226733456,6.484848484848484,19.060606060606062,0,0,0,8
54,653,479,0.8792160053770726,3.501527859303312,0.0,0.9103762310026482,31.65344003454466,0.0,0.14727272727272728,36,15.34772727272727,14.659090909090908,4.042587453453906,11.136363636363637,21.0,3,27,3,2
55,1382,1019,0.8769366207076565,3.009845566291888,0.0,0.9072623899984185,23.499563773048408,0.0,0.10261538461538461,138,10.24198553583169,9.953846153846154,2.4585406041246216,7.569230769230769,13.507692307692308,0,6,0,21
56,940,715,0.88588824166471,3.0929638150836554,0.0,0.9043550279395771,19.52038250448865,0.0,0.10217391304347827,96,10.488043478260868,9.880434782608695,4.540300024745969,5.826086956521739,16.02173913043478,1,1,1,22
58,1220,726,0.7855616233011696,4.070946865807395,0.0,0.8666879951105881,32.46215924489546,0.0,0.2814285714285714,82,14.201912901912904,12.761904761904763,6.884859663741166,6.809523809523809,25.0,0,0,0,35
59,964,771,0.8591931163845874,3.0393542850489803,0.0,0.8860878517163219,28.596702701780018,0.0,0.0768,59,16.07,15.99,0.6575408431313933,15.44,16.78,2,9,0,11
60,861,599,0.880055630317589,2.625547359869962,0.0,0.9263072396293551,16.86315927015338,0.0,0.10601626016260163,61,15.563008130081302,14.658536585365853,4.07263427885788,11.658536585365853,21.146341463414632,6,48,0,12
61,1235,981,0.8766137594175311,4.005018741725381,0.0,0.8964153519696765,44.28244202209655,0.0,0.14928571428571427,93,15.262698412698413,14.297619047619047,5.561269450591009,9.619047619047619,22.38095238095238,0,0,0,16
62,1133,823,0.8344128679332853,3.2376564881981755,0.0,0.8834001923565129,25.403618429176742,0.0,0.14844444444444443,60,23.68888888888889,23.266666666666666,3.399685092860108,20.42222222222222,27.377777777777776,0,3,0,6
64,1473,1099,0.8463371686539374,3.265371768433382,0.0,0.8832712340323023,27.529742639343404,0.0,0.1053968253968254,160,10.098925765592432,9.277777777777779,3.086988384571862,6.873015873015873,14.65079365079365,5,0,1,25
65,950,680,0.8275475505183567,4.756782552803439,0.0,0.8812801523688889,52.44582992834783,0.0,0.305,22,48.833333333333336,48.833333333333336,1.9444444444444444,46.888888888888886,50.77777777777778,5,45,2,6
66,1820,1286,0.8379337739862238,4.109929310360795,0.0,0.8790982824665131,40.02367253588997,0.0,0.18021739130434786,84,23.719202898550723,22.782608695652176,5.498487776774923,18.043478260869566,30.565217391304348,0,14,1,29
67,1018,841,0.7757216688813389,2.42668923458291,0.0,0.794143523188225,19.70755803458888,0.0,0.06337662337662338,93,11.53896103896104,11.532467532467532,1.5608793113333836,9.935064935064934,13.168831168831169,14,11,0,24
72,1892,1162,0.8064436765802532,3.611671500036571,0.0,0.8703501191569536,24.869268575738857,0.0,0.2273809523809524,117,14.088492063492064,12.392857142857142,7.952975655301706,5.9523809523809526,26.571428571428573,0,2,0,28
74,1830,1198,0.8044494220160163,3.768366783946379,0.0,0.8736325112663004,31.53718045533212,0.0,0.17386178861788618,142,11.64415334344731,10.817073170731707,5.141403978657424,6.048780487804878,19.51219512195122,0,4,0,17
76,585,404,0.8245872555256782,3.9632115125167235,0.0,0.8647514286222938,33.24650030983564,0.0,0.24266666666666667,38,15.425555555555555,11.4,8.925889317014567,7.4,28.333333333333332,0,0,0,16
77,1365,916,0.7632807553753934,4.139152325596269,0.0,0.8146874745925354,34.840458013117534,0.0,0.25483870967741934,109,16.098118279569892,13.96774193548387,7.519256481136261,8.774193548387096,27.129032258064516,1,15,0,18
78,994,888,0.9058081786719058,2.206830689869536,0.0,0.9131411822882861,13.437994886646843,0.0,0.0,171,7.676432291666667,7.49609375,1.212687555096389,6.4921875,9.0859375,0,13,0,34
79,1053,737,0.8273465387119593,4.09178927644444,0.0,0.8743635616659627,39.98911817154493,0.0,0.2768,42,29.958000000000002,29.98,4.576758918111591,24.72,35.08,0,0,0,15
81,648,484,0.9094529235811142,3.289399030772232,0.0,0.9301685886849392,27.844831262207855,0.0,0.1208,50,12.216666666666667,11.04,5.191123025515861,7.12,19.0,0,11,1,6
82,1411,869,0.7439149621843715,4.9623405123444915,0.0,0.8713641975810569,36.38479977162411,0.0,0.4672222222222222,24,62.80555555555556,63.138888888888886,8.932020188553984,53.388888888888886,71.88888888888889,0,22,0,5
83,768,592,0.8206351394178526,2.9260514426734177,0.0,0.8584751050422298,19.025000243385698,0.0,0.11175000000000002,63,14.34047619047619,13.9875,2.994221888890121,11.4,18.3,0,3,0,12
84,1354,989,0.8439138063314995,4.431868779935988,0.0,0.8778333730086474,56.62665449763972,0.0,0.16444444444444445,52,31.78181818181818,31.59090909090909,7.862615029367038,23.78787878787879,40.81818181818182,0,0,0,12
86,1673,1262,0.8511665830118772,2.891294191574923,0.0,0.8805286887922689,19.685079106646295,0.0,0.07208791208791208,155,12.880769230769232,12.258241758241759,3.258136993058097,9.758241758241759,17.571428571428573,0,5,3,68
88,1426,1084,0.8954432007518167,3.6023910933127365,0.0,0.9220243459169312,36.736150079222796,0.0,0.15284313725490195,78,21.271241830065357,21.127450980392158,3.2236700057532124,17.980392156862745,24.80392156862745,4,6,0,40
99,2222,1756,0.858802158301464,2.7318854011404534,0.0,0.8758569683197828,17.53205742316857,0.0,0.02522012578616352,369,7.245138264949587,6.735849056603773,2.3463802205632285,4.9245283018867925,10.383647798742139,2,3,0,35
