marker,university,spanish_level,gender,mother_tongue,n,tokens_total,per_1k,spanish_level_bucket
bueno,Univerza v Ljubljani,B2,F,sl,65,17595,3.6942313157146915,upper
bueno,Univerza v Ljubljani,B2,M,sl,12,615,19.51219512195122,upper
bueno,Univerza v Ljubljani,C1,F,sl,56,13120,4.2682926829268295,upper
bueno,Univerza v Ljubljani,C1,M,mk,1,459,2.178649237472767,upper
bueno,Univerza v Ljubljani,C1,M,sl,1,928,1.0775862068965518,upper
bueno,Univerza v Ljubljani,C2,F,es,4,2942,1.3596193065941535,upper
bueno,Univerza v Ljubljani,C2,F,sl,2,659,3.0349013657056148,upper
bueno,Univerza v Ljubljani,C2,M,es,7,1217,5.751848808545604,upper
bueno,Vrije Universiteit Brussel,B1,F,nl,7,4082,1.7148456638902498,lower
bueno,Vrije Universiteit Brussel,B1,M,en,2,475,4.2105263157894735,lower
bueno,Vrije Universiteit Brussel,B1,M,nl,1,1582,0.6321112515802781,lower
bueno,Vrije Universiteit Brussel,B2,F,fr,21,1468,14.30517711171662,upper
bueno,Vrije Universiteit Brussel,B2,F,nl,9,2033,4.426955238563699,upper
bueno,Vrije Universiteit Brussel,C1,F,fr,12,969,12.38390092879257,upper
bueno,Vrije Universiteit Brussel,C2,F,es,32,4875,6.564102564102564,upper
bueno,Vrije Universiteit Brussel,C2,M,es,11,2277,4.830917874396135,upper
básicamente,Univerza v Ljubljani,C1,F,sl,1,13120,0.07621951219512195,upper
básicamente,Univerza v Ljubljani,C2,F,es,2,2942,0.6798096532970768,upper
básicamente,Univerza v Ljubljani,C2,F,sl,1,659,1.5174506828528074,upper
básicamente,Univerza v Ljubljani,C2,M,es,2,1217,1.6433853738701725,upper
básicamente,Vrije Universiteit Brussel,C2,F,es,2,4875,0.41025641025641024,upper
claramente,Universita degli Studi di Palermo,B1,F,it,5,4299,1.1630611770179111,lower
claramente,Universita degli Studi di Palermo,B2,F,it,2,9519,0.21010610358230908,upper
claro,Universidad de Sevilla,C2,F,es,8,2332,3.4305317324185247,upper
claro,Universidad de Sevilla,C2,M,es,5,833,6.002400960384153,upper
claro,Universita degli Studi di Palermo,B1,F,it,9,4299,2.0935101186322402,lower
claro,Universita degli Studi di Palermo,B2,F,it,27,9519,2.8364323983611723,upper
claro,Universita degli Studi di Palermo,B2,M,it,4,1321,3.028009084027252,upper
claro,Universita degli Studi di Palermo,C1,F,it,2,1837,1.0887316276537833,upper
claro,Univerza v Ljubljani,B1,F,sl,3,1000,3.0,lower
claro,Univerza v Ljubljani,B2,F,sl,21,17595,1.1935208866155158,upper
claro,Univerza v Ljubljani,B2,F,sr,2,376,5.319148936170213,upper
claro,Univerza v Ljubljani,B2,M,sl,4,615,6.504065040650406,upper
claro,Univerza v Ljubljani,C1,F,sl,14,13120,1.0670731707317074,upper
claro,Univerza v Ljubljani,C2,F,es,20,2942,6.798096532970768,upper
claro,Univerza v Ljubljani,C2,M,es,2,1217,1.6433853738701725,upper
claro,Vrije Universiteit Brussel,B1,F,ro,1,535,1.8691588785046729,lower
